	f1	f2	f3	f4	f5	f7	f8	f9	class	f6_f10
0	0.266074	-0.16562000000000002	0.32098000000000004	0.483299	0.17234000000000002	0.371178	0.929823	0.251173	A	0.2163545
1	0.13029200000000002	0.8707360000000001	-3.210528	0.06249299999999999	0.261718	1.46594	0.636203	0.282354	A	0.9758235000000001
2	-0.116585	0.06991499999999999	0.068476	-0.783147	0.261718	-0.081827	-0.888236	-0.12300499999999999	A	0.511201
3	0.031541	0.2976	-3.210528	-0.5835899999999999	-0.721442	0.710932	1.051693	0.594169	A	-0.420989
4	0.229043	0.807926	-0.052441999999999996	0.082634	0.261718	0.6354310000000001	0.051062	0.032902	F	0.031069000000000006
5	0.117948	-0.220579	-3.210528	-1.623238	0.261718	0.257927	-0.385979	-0.247731	A	-0.34040950000000003
6	0.389513	-0.220579	-3.210528	-2.624155	0.261718	0.484429	-0.59751	-0.37245700000000004	A	-0.787509
7	0.019197	-0.040001	0.288973	-0.042597	0.261718	0.069175	0.8907010000000001	0.095265	F	-0.9279599999999999
8	0.500607	0.140576	0.388552	-0.637358	0.261718	0.295677	0.9310459999999999	0.500624	H	-0.662002
9	-0.252367	0.06991499999999999	0.24629600000000001	0.52355	0.261718	0.899684	1.373076	0.62535	E	-1.31121
10	-0.042522000000000004	-2.395356	-3.210528	-1.128463	-0.721442	0.257927	-1.167255	-0.060641999999999995	A	0.371738
11	-3.498799	-0.5660310000000001	0.139604	-5.440122	0.976743	-1.1765889999999999	-2.008078	0.438262	I	-0.4191475
12	0.043885	-0.17347100000000001	0.285416	-0.775121	0.17234000000000002	0.333428	-1.807711	-0.996086	F	-0.4009415
13	0.15498	0.336855	0.068476	0.021525	0.261718	0.031425	0.079292	0.31353600000000004	A	0.07494500000000001
14	0.29076199999999996	-0.189174	0.07914500000000001	-0.085921	0.976743	-0.9500860000000001	-0.273525	0.968347	I	-1.097819
15	0.14263599999999999	-0.24413200000000002	-3.206971	0.165524	0.887365	-0.8745850000000001	-2.69449	-3.3346970000000002	I	-1.7464795
16	-0.00549	-0.322644	0.100483	-0.519439	0.261718	0.069175	-0.574114	0.282354	A	-0.24541800000000003
17	-0.301743	-0.314793	0.399221	0.77052	0.708609	-1.32759	0.004193	0.7500760000000001	Y	1.106548
18	-0.091897	0.2976	0.07914500000000001	0.196496	0.261718	0.220177	0.305093	-0.278912	F	-0.173426
19	-0.091897	-0.220579	0.27474699999999996	0.567174	-0.185173	0.031425	-0.396638	-0.403638	A	0.750381
20	-0.00549	0.478177	0.029355000000000003	-0.247644	0.17234000000000002	0.333428	-0.670454	0.095265	A	0.9823560000000001
21	0.438888	0.19553399999999999	0.14315999999999998	-0.809435	0.261718	-0.232828	-0.087894	-0.278912	F	-0.9702479999999999
22	0.364825	-0.047852	-0.038216	0.327813	0.261718	0.484429	-0.964306	-0.933723	A	0.33586499999999997
23	-0.054866	-0.220579	0.466793	-0.21696999999999997	0.17234000000000002	0.446679	0.634922	0.31353600000000004	D	-0.936765
24	0.29076199999999996	0.077766	0.11826500000000001	0.275805	0.261718	0.031425	0.676859	-0.091823	F	-0.363273
25	0.10560399999999999	-0.087108	0.367214	1.522618	0.261718	0.6354310000000001	0.574967	0.656532	A	1.0022455
26	-0.030177999999999996	0.022808000000000002	0.157386	-0.771451	0.261718	0.182426	-1.21723	-0.185368	H	1.0219445
27	-0.252367	-0.008597	-2.044028	0.342613	0.351096	0.220177	1.240469	2.090879	X	-0.301673
28	0.29076199999999996	-0.189174	0.07914500000000001	-0.085921	0.976743	-1.1010879999999998	0.49569399999999997	1.6855200000000001	I	-0.5093565
29	0.25373	0.336855	0.086258	-0.9795709999999999	0.261718	0.144676	-0.626478	0.064084	G	-0.9758344999999999
30	0.46357600000000004	0.109171	0.22495700000000002	-1.411178	0.261718	0.257927	0.468454	0.282354	A	0.057879
